GeneID	Genome	Start	End	Strand	Annotation
OG_448	11_lib200753_1	50605	51561	+	DnaB
OG_770	11_lib200753_1	51579	52094	+	nan
OG_306	11_lib200753_1	52186	52929	+	ATP_43b
OG_416	11_lib200753_1	52950	53561	+	p9
OG_323	11_lib200753_1	53811	54773	+	primase
OG_1205	11_lib200753_1	54770	55351	+	MPP
OG_1061	11_lib200753_1	55323	55553	+	nan
OG_1062	11_lib200753_1	55557	55703	+	nan
OG_74	11_lib200753_1	55654	56061	+	gene48b
OG_904	11_lib200753_1	56030	56338	+	nan
OG_905	11_lib200753_1	56298	56447	+	nan
OG_908	11_lib200753_1	56428	57114	+	MPP
OG_1063	11_lib200753_1	57111	57284	+	nan
OG_275	11_lib200753_1	57284	58279	+	PDDEXK_beta
OG_1030	11_lib200753_1	58251	58727	+	nan
OG_130	11_lib200753_1	58824	64847	-	PDDEXK_tr,long_transcr
OG_62	11_lib200753_1	64854	78509	-	Pept_M34_tr,RNApB,RNApBprime
OG_125	11_lib200753_1	78512	80305	-	nan
OG_445	11_lib200753_1	80308	82356	-	gene49
OG_408	11_lib200753_1	82358	86482	-	Tstab
OG_583	11_lib200753_1	86482	87447	-	Ttub
OG_351	11_lib200753_1	87455	87913	-	IHF_53
OG_456	11_lib200753_1	87900	88556	-	IHF_54
OG_169	11_lib200753_1	88568	89221	-	39eps
OG_322	11_lib200753_1	89224	90957	-	36eps
OG_1156	11_lib200753_1	90960	91421	-	nan
OG_304	11_lib200753_1	91984	92547	-	nan
OG_352	11_lib200753_1	92614	93024	-	nan
OG_268	11_lib200753_1	93042	93977	-	nan
OG_319	11_lib200753_1	94016	94759	-	nan
OG_191	11_lib200753_1	94808	95407	-	nan
OG_679	11_lib200753_1	95409	95954	-	holin
OG_1956	11_lib200753_1	97203	97976	-	nan
GeneID	Genome	Start	End	Strand	Annotation
OG_1151	16T1_lib200772_5	661	1548	+	gene73
OG_2390	16T1_lib200772_5	1614	2219	+	nan
OG_315	16T1_lib200772_5	2224	2496	+	nan
OG_120	16T1_lib200772_5	2750	3235	+	nan
OG_291	16T1_lib200772_5	3280	6672	+	nan
OG_156	16T1_lib200772_5	8551	8865	+	nan
OG_813	16T1_lib200772_5	8868	9209	+	nan
OG_180	16T1_lib200772_5	9377	10078	+	nan
OG_37	16T1_lib200772_5	10237	10869	+	nan
OG_425	16T1_lib200772_5	10960	11457	+	nan
OG_278	16T1_lib200772_5	11461	11832	+	nan
OG_420	16T1_lib200772_5	11837	12346	+	nan
OG_464	16T1_lib200772_5	12431	13183	+	IHF_54
OG_361	16T1_lib200772_5	13187	14137	+	IHF_53
OG_584	16T1_lib200772_5	14076	14891	+	Ttub
OG_415	16T1_lib200772_5	14894	19339	+	Tstab
OG_440	16T1_lib200772_5	19336	20235	+	nan
OG_436	16T1_lib200772_5	20352	21857	+	gene49
OG_1794	16T1_lib200772_5	21867	24668	+	gene48
OG_314	16T1_lib200772_5	24652	30825	+	ZnMc_tr
OG_325	16T1_lib200772_5	44036	44359	-	nan
OG_326	16T1_lib200772_5	45056	45547	-	DUF2829
OG_353	16T1_lib200772_5	45547	46602	-	gene34
OG_1353	16T1_lib200772_5	46590	46850	-	nan
OG_363	16T1_lib200772_5	46825	47511	-	nan
OG_228	16T1_lib200772_5	47513	48289	-	Gp157
OG_799	16T1_lib200772_5	48270	48446	-	nan
OG_1352	16T1_lib200772_5	48443	48670	-	nan
OG_312	16T1_lib200772_5	48696	49682	-	Thy1
OG_320	16T1_lib200772_5	49657	49995	-	nan
OG_248	16T1_lib200772_5	49992	50777	-	dNK
OG_537	16T1_lib200772_5	50987	51352	-	nan
OG_245	16T1_lib200772_5	51359	52561	-	DNA_lig
OG_344	16T1_lib200772_5	52558	53127	-	nan
OG_680	16T1_lib200772_5	53124	53549	-	gene23
OG_2687	16T1_lib200772_5	54772	55728	-	ssb
OG_1980	16T1_lib200772_5	55831	56673	-	gene20
OG_3862	16T1_lib200772_5	56734	57693	-	RecT
OG_218	16T1_lib200772_5	57745	59127	-	SNF2
OG_716	16T1_lib200772_5	62475	63044	-	UDG
OG_434	16T1_lib200772_5	63046	64500	-	SF1
OG_542	16T1_lib200772_5	64490	64957	-	nan
OG_714	16T1_lib200772_5	64964	65263	-	nan
OG_711	16T1_lib200772_5	65268	65588	-	nan
OG_1343	16T1_lib200772_5	65968	66297	-	nan
OG_1350	16T1_lib200772_5	66287	66502	-	nan
OG_1362	16T1_lib200772_5	66507	66761	-	nan
OG_1046	16T1_lib200772_5	66901	67311	-	nan
OG_1351	16T1_lib200772_5	67376	67597	-	nan
OG_2000	16T1_lib200772_5	67599	67916	-	nan
OG_1359	16T1_lib200772_5	67919	68227	-	nan
OG_1999	16T1_lib200772_5	68230	68832	-	nan
OG_792	16T1_lib200772_5	69311	69478	-	nan
OG_731	16T1_lib200772_5	69504	69635	-	nan
OG_707	16T1_lib200772_5	69645	70226	-	nan
OG_703	16T1_lib200772_5	70448	71008	-	nan
UG_3	16T1_lib200772_5	71455	71586	-	nan
OG_1365	16T1_lib200772_5	71636	71806	+	nan
OG_1364	16T1_lib200772_5	72432	72659	+	nan
UG_4	16T1_lib200772_5	72767	73027	-	nan
OG_1360	16T1_lib200772_5	73105	73308	-	nan
OG_704	16T1_lib200772_5	73421	73933	-	nan
OG_1346	16T1_lib200772_5	74077	74322	-	nan
OG_1363	16T1_lib200772_5	75299	75418	-	nan
OG_1356	16T1_lib200772_5	75408	75629	-	nan
OG_1355	16T1_lib200772_5	75642	75767	-	nan
OG_794	16T1_lib200772_5	75876	76334	+	nan
OG_1354	16T1_lib200772_5	76434	76532	+	nan
OG_413	16T1_lib200772_5	76525	77097	+	nan
OG_547	16T1_lib200772_5	77219	77758	+	nan
OG_407	16T1_lib200772_5	77730	78335	+	gene86
OG_365	16T1_lib200772_5	78337	78636	+	12z151_unk
OG_429	16T1_lib200772_5	78640	79644	+	PDDEXK_alpha
OG_3131	16T1_lib200772_5	79641	79976	+	nan
OG_795	16T1_lib200772_5	80675	80980	+	nan
OG_409	16T1_lib200772_5	80952	81386	+	nan
OG_424	16T1_lib200772_5	81393	81677	+	nan
OG_412	16T1_lib200772_5	81874	82017	+	nan
OG_431	16T1_lib200772_5	86997	88298	+	gene77
OG_1039	16T1_lib200772_5	88329	89801	+	MCP
OG_410	16T1_lib200772_5	89825	91012	+	gene75
GeneID	Genome	Start	End	Strand	Annotation
OG_378	17T1_lib200766_2	5295	5588	+	nan
OG_742	17T1_lib200766_2	10617	11075	+	nan
OG_1775	17T1_lib200766_2	11080	11217	+	nan
OG_173	17T1_lib200766_2	11500	11694	+	nan
OG_404	17T1_lib200766_2	11691	12086	+	Pept_M15
OG_336	17T1_lib200766_2	12571	13191	+	nan
OG_744	17T1_lib200766_2	13270	13503	+	nan
OG_443	17T1_lib200766_2	16485	16871	+	nan
OG_2744	17T1_lib200766_2	50261	50539	-	nan
OG_1728	17T1_lib200766_2	57480	57887	-	nan
OG_1724	17T1_lib200766_2	57913	58761	-	p13
OG_893	17T1_lib200766_2	58782	58973	-	nan
OG_234	17T1_lib200766_2	59675	60226	-	p15
UG_5	17T1_lib200766_2	62833	63072	-	nan
OG_845	17T1_lib200766_2	63029	63421	-	nan
OG_184	17T1_lib200766_2	63441	63842	-	nan
OG_846	17T1_lib200766_2	65493	65870	-	nan
OG_840	17T1_lib200766_2	66769	67329	-	nan
OG_835	17T1_lib200766_2	67326	67514	-	nan
OG_754	17T1_lib200766_2	67505	67804	-	nan
OG_888	17T1_lib200766_2	70039	70269	-	nan
OG_203	17T1_lib200766_2	70478	70636	-	nan
OG_2937	17T1_lib200766_2	70618	70731	-	nan
OG_283	17T1_lib200766_2	70733	71191	-	nan
OG_848	17T1_lib200766_2	71188	71460	-	nan
OG_1810	17T1_lib200766_2	71450	71680	-	nan
OG_872	17T1_lib200766_2	73000	73344	-	nan
OG_171	17T1_lib200766_2	73341	73640	-	nan
OG_170	17T1_lib200766_2	73642	73860	-	nan
OG_2938	17T1_lib200766_2	75560	76021	-	nan
OG_886	17T1_lib200766_2	76338	76547	+	nan
OG_865	17T1_lib200766_2	76540	76731	+	nan
OG_2942	17T1_lib200766_2	76728	76952	+	nan
OG_1807	17T1_lib200766_2	76943	77209	+	nan
OG_882	17T1_lib200766_2	77199	77429	+	nan
OG_2939	17T1_lib200766_2	77368	77589	+	nan
OG_276	17T1_lib200766_2	80566	80967	+	nan
OG_849	17T1_lib200766_2	81359	81667	+	nan
OG_215	17T1_lib200766_2	82242	82379	+	nan
OG_2936	17T1_lib200766_2	83635	83775	+	nan
OG_2940	17T1_lib200766_2	83946	84146	+	nan
OG_206	17T1_lib200766_2	89090	89368	+	nan
GeneID	Genome	Start	End	Strand	Annotation
OG_811	18T3_lib200773_2	2375	2704	-	nan
OG_65	18T3_lib200773_2	3434	3895	-	Pept_M15
OG_422	18T3_lib200773_2	3877	4089	-	nan
OG_814	18T3_lib200773_2	26035	26274	-	nan
OG_350	18T3_lib200773_2	26850	27191	-	nan
OG_815	18T3_lib200773_2	27194	27511	-	nan
OG_817	18T3_lib200773_2	29044	29181	-	nan
OG_823	18T3_lib200773_2	30452	30664	-	nan
OG_200	18T3_lib200773_2	31198	31404	-	nan
OG_1091	18T3_lib200773_2	31639	31899	-	nan
OG_183	18T3_lib200773_2	32139	32828	+	nan
OG_198	18T3_lib200773_2	33901	34203	+	nan
OG_762	18T3_lib200773_2	34200	34538	+	nan
OG_824	18T3_lib200773_2	34596	34853	+	nan
OG_825	18T3_lib200773_2	34825	34971	+	nan
OG_826	18T3_lib200773_2	36148	36537	+	nan
OG_2225	18T3_lib200773_2	36540	36671	+	nan
OG_1094	18T3_lib200773_2	36725	36970	+	nan
OG_827	18T3_lib200773_2	37347	37796	+	nan
OG_832	18T3_lib200773_2	39782	40336	+	nan
OG_833	18T3_lib200773_2	40644	40847	+	nan
OG_2551	18T3_lib200773_2	40828	41169	+	nan
OG_758	18T3_lib200773_2	42109	42555	+	nan
OG_842	18T3_lib200773_2	43171	43521	+	nan
OG_267	18T3_lib200773_2	43590	45305	+	p4
OG_197	18T3_lib200773_2	45325	45795	+	p4
OG_875	18T3_lib200773_2	49990	50814	+	nan
OG_333	18T3_lib200773_2	53627	54382	+	LAGLIDADG
OG_810	18T3_lib200773_2	58463	58801	+	nan
OG_32	18T3_lib200773_2	59159	59449	+	AAA_ATP_2
OG_843	18T3_lib200773_2	63089	63523	+	gene53b
OG_124	18T3_lib200773_2	94135	95163	-	RT_G2
GeneID	Genome	Start	End	Strand	Annotation
OG_1400	20T1_lib200770_1	3233	3739	-	nan
OG_1766	20T1_lib200770_1	4708	4800	-	nan
OG_2147	20T1_lib200770_1	5133	5324	-	nan
OG_1768	20T1_lib200770_1	5308	5589	-	nan
OG_168	20T1_lib200770_1	6796	7605	-	p7
OG_269	20T1_lib200770_1	7607	8926	-	AAA_ATP_2
OG_771	20T1_lib200770_1	10496	11005	-	nan
OG_167	20T1_lib200770_1	16250	17551	-	nan
OG_1769	20T1_lib200770_1	20625	20855	+	nan
OG_1765	20T1_lib200770_1	20963	21148	-	nan
OG_1764	20T1_lib200770_1	23303	23686	-	nan
OG_837	20T1_lib200770_1	24760	25185	-	nan
OG_1763	20T1_lib200770_1	25738	26052	-	nan
OG_828	20T1_lib200770_1	26088	26333	-	nan
OG_1762	20T1_lib200770_1	28226	28654	-	nan
OG_1756	20T1_lib200770_1	30534	30923	-	nan
OG_1761	20T1_lib200770_1	30925	31305	-	nan
OG_1157	20T1_lib200770_1	32106	32318	-	nan
OG_1760	20T1_lib200770_1	32813	32986	-	nan
OG_266	20T1_lib200770_1	33094	33711	-	nan
OG_2793	20T1_lib200770_1	33985	34173	-	nan
OG_207	20T1_lib200770_1	34751	35158	-	nan
OG_1759	20T1_lib200770_1	35514	35687	+	nan
OG_1418	20T1_lib200770_1	35923	36135	+	nan
OG_1757	20T1_lib200770_1	38559	38945	+	nan
OG_1767	20T1_lib200770_1	40934	41194	+	nan
OG_121	20T1_lib200770_1	68057	68743	+	nan
GeneID	Genome	Start	End	Strand	Annotation
OG_722	29T2_lib200760_1	1830	2099	-	nan
OG_737	29T2_lib200760_1	4515	4622	-	nan
OG_2252	29T2_lib200760_1	4619	4825	-	nan
OG_4059	29T2_lib200760_1	4830	5294	-	nan
OG_735	29T2_lib200760_1	5299	5784	-	nan
OG_719	29T2_lib200760_1	5895	6167	-	nan
OG_729	29T2_lib200760_1	7001	7165	-	nan
OG_2257	29T2_lib200760_1	8013	8384	+	nan
UG_6	29T2_lib200760_1	8468	8569	+	nan
OG_618	29T2_lib200760_1	8746	9456	-	RepL
OG_2253	29T2_lib200760_1	9840	10037	-	nan
OG_614	29T2_lib200760_1	12319	12528	+	nan
OG_257	29T2_lib200760_1	15691	15951	+	nan
OG_256	29T2_lib200760_1	15935	16147	+	GIY,HNH
OG_2254	29T2_lib200760_1	19452	19574	+	nan
OG_746	29T2_lib200760_1	28650	28898	+	nan
OG_741	29T2_lib200760_1	37263	37505	+	nan
OG_217	29T2_lib200760_1	40398	42182	+	nan
OG_172	29T2_lib200760_1	42179	42385	+	nan
OG_2255	29T2_lib200760_1	76802	76924	-	nan
OG_740	29T2_lib200760_1	76921	77115	-	nan
OG_313	29T2_lib200760_1	77357	77518	-	nan
OG_418	29T2_lib200760_1	77531	77674	-	nan
OG_2256	29T2_lib200760_1	78146	78424	-	nan
OG_329	29T2_lib200760_1	80889	81668	-	49eps
OG_1358	29T2_lib200760_1	81665	81916	-	nan
OG_4	29T2_lib200760_1	82772	83164	-	nan
OG_536	29T2_lib200760_1	84178	84609	-	nan
GeneID	Genome	Start	End	Strand	Annotation
OG_187	2_lib200757_1	4537	4902	-	nan
OG_189	2_lib200757_1	9593	9916	-	nan
OG_233	2_lib200757_1	9927	10310	-	nan
OG_763	2_lib200757_1	12041	12511	+	nan
OG_2006	2_lib200757_1	12486	12605	+	nan
OG_222	2_lib200757_1	12683	13147	+	nan
OG_188	2_lib200757_1	13147	13386	+	nan
OG_4656	2_lib200757_1	13502	13603	+	nan
OG_1880	2_lib200757_1	13590	14105	+	nan
OG_4545	2_lib200757_1	14336	14566	-	nan
OG_764	2_lib200757_1	15367	15666	+	nan
OG_1196	2_lib200757_1	15891	16307	+	nan
OG_1195	2_lib200757_1	16276	16530	+	nan
OG_768	2_lib200757_1	16530	16910	+	nan
OG_3326	2_lib200757_1	16907	17365	+	nan
OG_1197	2_lib200757_1	17362	17553	+	nan
OG_1194	2_lib200757_1	17556	17828	+	nan
OG_1962	2_lib200757_1	17825	18028	+	nan
OG_778	2_lib200757_1	18902	19321	+	nan
OG_780	2_lib200757_1	19436	19669	+	nan
OG_756	2_lib200757_1	21001	21522	+	nan
OG_757	2_lib200757_1	21535	22023	+	nan
OG_2249	2_lib200757_1	22559	22696	-	nan
OG_193	2_lib200757_1	22736	22939	+	nan
OG_1187	2_lib200757_1	24619	25020	+	nan
OG_2248	2_lib200757_1	25007	25198	+	nan
OG_2007	2_lib200757_1	25398	25880	-	nan
OG_438	2_lib200757_1	27186	27800	+	nan
OG_2735	2_lib200757_1	29319	30272	+	nan
OG_782	2_lib200757_1	30290	30952	+	nan
OG_1186	2_lib200757_1	37991	38305	+	nan
OG_1190	2_lib200757_1	40611	40757	+	nan
OG_1188	2_lib200757_1	40750	41196	+	nan
OG_190	2_lib200757_1	65299	67071	-	nan
OG_772	2_lib200757_1	75091	75396	-	nan
OG_224	2_lib200757_1	75815	83308	-	nan
OG_176	2_lib200757_1	83305	83901	-	MPP
OG_773	2_lib200757_1	87477	88394	-	nan
OG_428	2_lib200757_1	95739	96875	-	nan
GeneID	Genome	Start	End	Strand	Annotation
OG_2647	2_lib200757_4	369	944	+	RepL
OG_264	2_lib200757_4	1586	1873	+	nan
OG_469	2_lib200757_4	1842	2111	+	TRX
OG_2391	2_lib200757_4	2202	2459	+	nan
OG_1383	2_lib200757_4	3137	3244	-	nan
OG_2648	2_lib200757_4	37833	37979	-	nan
UG_7	2_lib200757_4	41947	42111	-	nan
OG_2654	2_lib200757_4	42518	42769	-	nan
OG_213	2_lib200757_4	46773	46997	-	nan
OG_337	2_lib200757_4	58726	59049	-	nan
OG_437	2_lib200757_4	59009	59275	-	nan
OG_2645	2_lib200757_4	59360	59539	-	nan
OG_4767	2_lib200757_4	59539	60147	-	nan
OG_2646	2_lib200757_4	60151	60276	-	nan
OG_2653	2_lib200757_4	60273	60389	-	nan
OG_4791	2_lib200757_4	65485	65703	+	nan
OG_2652	2_lib200757_4	65773	65985	+	nan
OG_2395	2_lib200757_4	66333	66500	+	nan
OG_4566	2_lib200757_4	66803	67048	+	nan
OG_2406	2_lib200757_4	67072	67224	+	nan
OG_2649	2_lib200757_4	67310	67867	+	nan
OG_706	2_lib200757_4	67916	68458	+	nan
OG_769	2_lib200757_4	68534	68731	+	nan
OG_2396	2_lib200757_4	68806	68955	+	nan
OG_912	2_lib200757_4	68976	69398	+	nan
OG_1801	2_lib200757_4	69551	69721	+	nan
OG_1800	2_lib200757_4	69724	69858	+	nan
OG_2397	2_lib200757_4	69973	70215	+	nan
OG_332	2_lib200757_4	70202	71005	+	nan
OG_651	2_lib200757_4	71010	71186	+	nan
OG_2398	2_lib200757_4	71183	71524	+	nan
OG_4782	2_lib200757_4	71614	71922	+	nan
OG_541	2_lib200757_4	72244	72744	+	nan
OG_2409	2_lib200757_4	74216	74533	+	nan
OG_2399	2_lib200757_4	74653	75033	+	nan
OG_430	2_lib200757_4	83931	84428	+	nan
UG_8	2_lib200757_4	85628	85864	+	HNH
OG_538	2_lib200757_4	86313	86669	+	nan
OG_2650	2_lib200757_4	86889	87167	+	nan
OG_3817	2_lib200757_4	87172	87657	+	nan
OG_348	2_lib200757_4	87663	88313	+	nan
OG_2401	2_lib200757_4	89356	89550	+	nan
OG_2402	2_lib200757_4	89555	89740	+	nan
OG_2651	2_lib200757_4	90706	90993	+	nan
OG_2403	2_lib200757_4	91005	91283	+	nan
OG_2021	2_lib200757_4	92366	92647	+	nan
GeneID	Genome	Start	End	Strand	Annotation
OG_227	3300006747_____Ga0101801_100090	15313	16392	-	3eps,BACON
OG_100	3300006747_____Ga0101801_100090	18434	20083	-	BACON
OG_318	3300006747_____Ga0101801_100090	23725	24129	-	nan
OG_885	3300006747_____Ga0101801_100090	35572	35817	-	nan
OG_3530	3300006747_____Ga0101801_100090	47750	48205	+	nan
OG_3529	3300006747_____Ga0101801_100090	48957	49184	+	nan
OG_587	3300006747_____Ga0101801_100090	49926	50372	+	nan
OG_1813	3300006747_____Ga0101801_100090	50827	51012	+	nan
OG_250	3300006747_____Ga0101801_100090	52041	52409	+	nan
OG_1808	3300006747_____Ga0101801_100090	52924	53250	+	nan
OG_1812	3300006747_____Ga0101801_100090	56426	56638	+	nan
OG_1811	3300006747_____Ga0101801_100090	56661	56861	+	nan
GeneID	Genome	Start	End	Strand	Annotation
OG_225	3300007312_____Ga0104941_100065	1644	1958	-	nan
OG_252	3300007312_____Ga0104941_100065	2810	3163	-	nan
OG_1991	3300007312_____Ga0104941_100065	3768	4811	-	nan
OG_638	3300007312_____Ga0104941_100065	14060	14377	-	nan
OG_596	3300007312_____Ga0104941_100065	14988	15407	-	nan
OG_749	3300007312_____Ga0104941_100065	15370	15666	-	nan
OG_819	3300007312_____Ga0104941_100065	15663	16046	-	phage_O
OG_597	3300007312_____Ga0104941_100065	16057	16380	-	nan
OG_598	3300007312_____Ga0104941_100065	16385	16594	-	nan
OG_1158	3300007312_____Ga0104941_100065	16563	16820	-	nan
OG_4280	3300007312_____Ga0104941_100065	17034	17168	+	nan
OG_673	3300007312_____Ga0104941_100065	17500	17967	-	nan
UG_9	3300007312_____Ga0104941_100065	18131	18400	-	nan
OG_1462	3300007312_____Ga0104941_100065	19206	19526	-	nan
OG_1463	3300007312_____Ga0104941_100065	20066	20263	-	FeThRed
OG_621	3300007312_____Ga0104941_100065	21826	22140	+	nan
OG_4497	3300007312_____Ga0104941_100065	22699	22896	+	nan
OG_1467	3300007312_____Ga0104941_100065	22893	23108	+	nan
OG_1475	3300007312_____Ga0104941_100065	23105	23194	+	nan
OG_1468	3300007312_____Ga0104941_100065	23287	23703	+	nan
OG_52	3300007312_____Ga0104941_100065	23793	24254	+	nan
OG_1466	3300007312_____Ga0104941_100065	24415	24723	+	nan
OG_1470	3300007312_____Ga0104941_100065	24684	24908	+	nan
OG_76	3300007312_____Ga0104941_100065	24893	25243	+	nan
OG_2741	3300007312_____Ga0104941_100065	25246	25608	+	nan
OG_1464	3300007312_____Ga0104941_100065	25692	26108	+	nan
OG_2232	3300007312_____Ga0104941_100065	26410	27819	+	nan
UG_10	3300007312_____Ga0104941_100065	27841	28017	+	nan
OG_1476	3300007312_____Ga0104941_100065	28993	29256	+	nan
OG_607	3300007312_____Ga0104941_100065	29297	29656	+	nan
OG_608	3300007312_____Ga0104941_100065	29673	29870	+	nan
OG_354	3300007312_____Ga0104941_100065	29867	30610	+	nan
OG_4605	3300007312_____Ga0104941_100065	30587	30751	-	nan
OG_1208	3300007312_____Ga0104941_100065	30793	31584	+	Prohibitin
OG_1174	3300007312_____Ga0104941_100065	31587	31937	+	nan
OG_2576	3300007312_____Ga0104941_100065	32226	32720	+	nan
OG_2572	3300007312_____Ga0104941_100065	32722	33840	+	nan
OG_1617	3300007312_____Ga0104941_100065	33837	34328	+	nan
OG_390	3300007312_____Ga0104941_100065	34315	35565	+	SNF2
OG_1477	3300007312_____Ga0104941_100065	35567	35677	+	nan
OG_161	3300007312_____Ga0104941_100065	35674	36270	+	Rep_Org
OG_441	3300007312_____Ga0104941_100065	36245	37489	+	DnaB
OG_1097	3300007312_____Ga0104941_100065	37497	38198	+	ATP_43b
OG_609	3300007312_____Ga0104941_100065	38195	38476	+	nan
OG_611	3300007312_____Ga0104941_100065	38418	38855	+	nan
OG_585	3300007312_____Ga0104941_100065	38879	39808	+	gene45b
OG_589	3300007312_____Ga0104941_100065	40846	41547	+	AXQ62722
OG_1465	3300007312_____Ga0104941_100065	41615	42907	+	AXQ62721
OG_1099	3300007312_____Ga0104941_100065	42846	44141	+	MPN_crAss001
OG_1098	3300007312_____Ga0104941_100065	44153	45481	+	ThiF_crAss001
OG_600	3300007312_____Ga0104941_100065	45481	46284	+	AXQ62718
OG_1096	3300007312_____Ga0104941_100065	46281	46952	+	UDG
OG_658	3300007312_____Ga0104941_100065	46971	47534	+	nan
OG_423	3300007312_____Ga0104941_100065	47945	48220	+	nan
OG_36	3300007312_____Ga0104941_100065	49768	51960	+	RNR
OG_150	3300007312_____Ga0104941_100065	51966	52217	+	nan
OG_593	3300007312_____Ga0104941_100065	53701	54210	+	Asp_protease
OG_630	3300007312_____Ga0104941_100065	54207	54473	+	nan
OG_417	3300007312_____Ga0104941_100065	54474	56864	+	PolA
OG_219	3300007312_____Ga0104941_100065	56866	57186	+	nan
OG_1159	3300007312_____Ga0104941_100065	57462	57893	+	PNK
OG_1162	3300007312_____Ga0104941_100065	57895	58200	+	nan
OG_603	3300007312_____Ga0104941_100065	58197	58634	+	nan
OG_196	3300007312_____Ga0104941_100065	59520	59762	+	nan
OG_1479	3300007312_____Ga0104941_100065	59762	60154	+	nan
OG_194	3300007312_____Ga0104941_100065	60159	60773	+	gene51_IAS
OG_1480	3300007312_____Ga0104941_100065	60773	61393	+	nan
OG_594	3300007312_____Ga0104941_100065	78646	80253	-	gene48
OG_393	3300007312_____Ga0104941_100065	88930	89634	-	IHF_54
OG_244	3300007312_____Ga0104941_100065	89728	93324	-	nan
OG_4698	3300007312_____Ga0104941_100065	93337	96429	-	nan
OG_595	3300007312_____Ga0104941_100065	98165	98719	-	nan
OG_1152	3300007312_____Ga0104941_100065	98787	99803	-	nan
OG_414	3300007312_____Ga0104941_100065	99835	100521	-	gene74
UG_11	3300007312_____Ga0104941_100065	104425	104526	-	nan
GeneID	Genome	Start	End	Strand	Annotation
OG_1417	3300007524_____Ga0105481_1000121	690	902	+	nan
OG_3433	3300007524_____Ga0105481_1000121	916	1119	+	nan
